,clean_text
1749,modi government exceeds disinvestment target for the second time row completes firstever sale ‘enemy shares’ 
1750,petrol diesel and gas prices not rise 
1751,modi will never appreciate because from fascist organisation
1752,imagine the president india urging citizens vote for modibjp din bhi dur nahi
1753,surat women perform yagna seeks divine grace for narendra modi become again 
1754,now air india boarding pass with pictures modi causes stir 
1755,people vote for progress vote for development vote for modi 
1756,"
modi govt has provided lpg connections under ujjwala yojana which helping women their families get rid health issues caused indoor air pollution via namo app"
1757,millions have added chowkidar their name your logic million people are chor this million will vote for modi again modi will get 350 this time can keep abusing but victory will for modi and its suppirters not only that victory for india
1758,watch society needs modi rajasthan governor kalyan singh channels bjp ‘karyakarta’ read here 
1759,grateful modi 
1760,you want modi back then its but just think about thousands time call congress anti indians
1761,yesterday governor now indian air force doing election campaign for modi  next president 
1762,bjp govt forever jusic for women modi forever vote for modi 
1763,inko nahin lakh khoon maaf hai are all bjp workers modi should become governor kalyan singh 
1764,objectbiased media those space each cong spl rahulpcdo debate abuse modi rafael same attend bjp patrapc disclosing rahulcorruptionwhy wish 2defend himwhy spl attention rahulfraud allegation media space probed corruption merit 4media
1765,have you bought your team modi tshirt you can the opposite team
1766,lets order demonisation kill people modi
1767,modi sold the country for retweets
1768,wait next ten years2029 modi solve 
1769,miracle modi 
1770,modi means marketing rahulji means governance 
1771,you feel that corruption has been removed during time
1772,modi hai ‘mumkin’ hai wasn’ the slogan bjp ’ disgraceful for the post
1773,vote kar only for bjp vote kar narendra modi appeals everyone during tweetstorm 
1774,these parties are experts looting exploiting modi remembers ram manohar lohia target mahamilawat 
1775,"because they are and not brahmin
"
1776,"shame didi
blaming modi for corruption ppl decided give for tmc"
1777,you are doing indirectly publicity narendra modi keep  
1778,meanwhile cancelled ola auto booking because driver look like modi  
1779,who after modi can vajpayees advani trying inherit the bjp tells you this unmissable piece via 
1780,calls for netflix boycott after comedian hasan minhaj mocks narendra modi 
1781,grt sir have support our modi 
1782,"the airline said the passes featuring the photographs would withdrawn they are found violation the model code conduct
"
1783,when you were talking about lynches you never brougt pakistan your tweet now why india modi you are hypocrate shame you
1784,corruption cant removed any government can done public government can reduce which modi government has done
1785,modi urges noted personalit 
1786,how this campaigning for modi can you explain the air chief talking about the capabilities the force how does become political 
1787,dear same things you will tell your party chief oppose modi but dont abuse his father
1788,get rid modi
1789,she will drink even manhole water her petrodas say that will save them from eds investigators modi
1790,through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 
1791,announce tie with aap and cong his press conference 130 pmshall justify this illogical tie emphasizing upon the need remove modi shah duo 
1792,"vote out modi and bjp
modi cant rein these extremists bring congress government newdelhi congress the voice countrynot the voice one personone community but the voice the voice everybody this country "
1793,was the same who threatened modi 2014 election 
1794,society needs modi governor kalyan singh channels bjp karyakarta ndtv 
1795,fyi not janta modi but janta for modi and modi for janta and when you say aap janta saath hai that means you going vote for modi janta hit public interest
1796,desh bech chuke hai already modi mallya ambani
1797,where the money meant for salutesstadivasi minority students going must provide answers 
1798,what you think modi did not for this washington establishment thought modi was all relationship
1799,yes vote for modi
1800,owaisi asked modi had eaten beef biryani and slept while the terror attack took place pulwamai asking owaisi was drawing muhammads cartoon for charlie hebdo while kashmiri student was tweeting hows the jaise
1801,country not problembut reality your seats danger zon dont worry about countymodi hai
1802,modi never sold any tea its one those jhumlas that just took off anybody who can give any evidence 
1803,vote for modi and bjp vote for bjp want namo again
1804,imran masood kin azhar masood then what about lalit modi and nirav modi  
1805,bangalore south for modi dont worry wont dare cross godavari
1806,course because modi spread the hatred 
1807,society needs modi rajasthan governor kalyan singh channels bjp ‘karyakarta’ read here 
1808,modi modiji pls come karnataka and contest from karnatakawe will show the power youths karnataka for the campaigning
1809,will come then chinese toy won’ even take off have brahmos ’ deadliest cruise middle the world next time modi comes pak army had 
1810,people with your orientation and idealogy are welcomed almost all islamic countries you have option select out among countries the planet make your choice before modi gets reelected and close the policy reservation
1811,standalone modiadani benevolence contract shaped days before election mcc amending sez act jharkhand 
1812,then why you want like modi even after being iitien and irs varsh tak surakshit naukari mukable apne bhi delhi chowkidari behtar samjhi sir
1813,this will the death nail for indian forests 
1814,done with deliberate intentions shabana azmi accuses biopic makers ndtv news via 
1815,arrests made for morphed modi any here
1816,modi and company
1817,vote modi bjp future india 
1818,support modi sir
1819,narendra modi appeals everyone during tweetstorm via 
1820,are all bjp workers modi should become governor kalyan singh read 
1821,producer dons another hat with 
1822,narendra modi speech election speech via 
1823,this page itself shows modi did thingsnot like congress who did scams and ate peoples money
1824,"corrected modi sold tea for two rupees
now his bhakts sell themselves for two rupees "
1825,modi again for lynching 
1826,"dont know how the current congress president last time believed modi and what did keep fooling
you also need agree this that dont need which keeps lying and speaks without factsdoesnt order investigation there charge"
1827,can guide where can find data for education spend modi upa need confront congi
1828, vote kar narendra modi appeals everyone during tweetstorm 
1829,and modi
1830,ohhh wake frm dreams dude leader ppl fear our leader modi guys eagerly waiting interfering our matter interests
1831, vote kar narendra modi appeals everyone during tweetstorm via namo app 
1832,smelt defeat openion abot sing modi dropped bjp assembly 135 
1833,keeping mind that you look like prashant kishore modi should consider your suggestion 
1834, modi urges noted personalities spread voter awareness via namo app 
1835,practice what preachmodi bhakt
1836,will sent back pakistan just wait after two months when modi government comes this anti national will thrown pakistan
1837,modi dumped his wife caring people india
1838, one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign via namo app 
1839,now you should know why not modi why 
1840,replace imran khan with narendra modi pakistan with india and you get bhakt’ reply ‍♂️
1841, through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections via namo app 
1842,fyi 7th largest gdp india not low denominator you fool you talk per capita debt here something from 2013 when modi guj 
1843,says will withdraw boarding passes with modi’ photo violates poll code 
1844,the government led outgoing prime minister narendra modi openly flouting code conduct want govt which violates law day day out this election choose leader who respect law and the country 
1845,can’ become ‘chowkidar’ because ’ brahmin says bjp subramanian swamy 
1846,shame modi and air india 
1847,governor kalyan singh said modi should become again forgot add otherwise need vacate governors bungalow
1848,"were following rss constitution for hindu rashtra not the one drafted for india 
shameless modi "
1849,modi let’ talk about what you did not congress 
1850,"chunav jaroor hoga
but you will permanent out because people will again vote 2024 modi "
1851, centre state govts working together make india tbfree 2025 narendra modi via namo app 
1852,atleast let all pray not reborn secular india again
1853,the airline said that the passes featuring the photographs would withdrawn they are found violation the model code conduct 
1854,but modi should have used the shudh hindi 
1855,needs message karyakartas 
1856,insanity 
1857,har har modi plz vote every sit for only modi
1858,only one leader modi modi
1859,exposedmodi neechlow castetoo
1860,"need the act protect minorities india
the hindu nationalists have the same mindset the white neonazis with sense fairness justice their ideology with modi giving them protection "
1861,dear five years ago you started your polling campaign ‘chaiwala’ then you became ‘chowkidar‘ then ‘mazdoor’and now the ‘tshirt seller’ india waiting when modi will become india and fulfill the promises that had made the people our country citizen 
1862,dont know what survey this all the bengali friends asked about modi almost all were against his policies☺️
1863,even modi voters will not vote for modi after watching modi movie
1864,with modis selective patriotism towards ambani modi shah etc voter too will think about voting
1865,theyre testing waters next kovind naidu will join the chowkidar brigade and explain how modi alone could surgical strikes pakistan
1866,please change your channel name sirf modi tak and tagline sabse tez faku
1867,same here running 
1868,how aaj tak and media creates anti modi voices must watch aktk via 
1869,"brahman
modi neechlow castesswamy "
1870,brother offered modi beef biryani yesterday
1871,brother you know why modi selling tshirt behalf namo merchandise because the entire revenue namo merchandise being transfered namami ganga project which dream project him but people who dont know this criticise him please know before you speak 
1872,yes maam will definitely teach congi piddis har har modi 
1873,wish that was the case rajasthan incompetence indifference maharani ruining chances even during assembly elections slogan was modi tughse bair nahi raje teri khair nahi now they are handing over seats platter while sleeps
1874,that’ modi’ india
1875,official website ashok modi – serving the society 
1876,has been salesman selling jumlas salesman selling doctored data lies will remain salesman selling jumlas lies 
1877,blessings you will see 
1878,people india want narender modi prime minister for ever
1879,what was modi boti boti kaat denge which patriotism was that
1880,mahodaya pranamwill come eat thallipeath with jowar roti your place after 23519
1881,professors and researchers from jnu bhu launch academics for namo campaign support modi via namo app 
1882,now air india boarding pass with pictures narendra modi causes stir via 
1883,surat women perform yagna seeks divine grace for narendra modi become again via namo app 
1884,hope modi will initiate post 2019 election
1885,yes they’ been arrested ’ gonna court now brother imran khan hai apka modi nai 
1886,exclusive issues boarding pass with narendra modi pic 
1887,aap congress how times have changed power modi
1888,welfare exservicemen have been improved modi government 
1889,your hatred towards modi not forget that the person you are replying also bhadwa dalal aap and islamists
1890,are all bjp workers modi should become governor kalyan singh india news times india 
1891,fifth column justice yet for pehlu khan 
1892,indias opposition steps challenge modi with priyanka gandhi 
1893,answer how will you compare years congress rule years modi government 
1894,yogi can say saharanpurs congress candidate masood azhars son law just because his surname azhar why they feel embarasement when people call chotta modi 
1895,still people are saying what modi did years 
1896,you want chowkidar will give you whistle and cap akbaruddin owaisi 
1897,the hardest working animal beaver has the smallest weighttobrain ratio among mammals bhakts call modi the hardest working prime minister
1898,conglomeration pdp congress will not deter modi’ commitment jugal kishore terming the gathbandhan national conference people’ democratic party and congress conglomeration 
1899,modi source 
1900,moment for world bank says need leadery िरएकबाोीसरका 
1901,"people like mayawati and akhilesh can not contest elections says amit shah
only tadipaar murderer like him modi babu bajrangi canthis call thuuu ideology bjp"
1902,"air india boarding pass features images modi vijay rupani sparks row over violation poll norms
"
1903,this the same person who had threatened cut modi pieces does not deserve election fray
1904,request all friends please vote for because hes forwarding the india development now you will google and search the 2013 gdp growth and 2019 gdp growth then you will got results dont say modi last option our country
1905,reality modi seller sells things according the taste their buyers like country’ resources are for wealthy buyers like ambani and adani merchandise for middle class people and fake promises for those who are doing window shopping
1906,pointed out that while spoke tapping 300 cell phones balakot the government still failed detect rdx being moved under their nose during the pulwama terror attack read more 
1907,another one from the peacefuls will you still bat for pakistanimranislam and oppose indiamodihinduism killing professor for coed event brings focus pak blasphemy laws via 
1908,answer why narendra modi started chowkidar campaign again started cheating 
1909,modi our future 
1910,she feels for the entire world but not kashmiris neither the pundits nor muslims she supports modi who cheated kashmiri pundits article 370
1911,maam these people are only get paid the time elections you cought yogi and modi correct point you please continue education teachers and security women know now bjp leaders are scared
1912,will claim modi spreading news defame her she doesnt have the sense realise that all indian services like customs crpf aai etc dont come under her ragtag outfit they will raise this issue with goi and both nephewnieceinlaw will spend time tihar 
1913,air india boarding pass features images modi vijay rupani sparks row over violation pollnbspnorms via 
1914,anything say now hope know its crucial deal jai modi 
1915,can see someone burning after seeing maddy reply modi 
1916,why are even having election why cant declare dictatorship and get over with this hypocrisy democracy
1917,apne ghar mein toh kutta bhi sher hota hai you challenge modi come hyderabad when came you were like dog barking streets 
1918,"while upa was depriving our forces for providing them equipment needed them modi government providing them needed
ch47f chinook heavylift helicopter are inducted today mar helicopter fleet iaf chandigarh "
1919,back modi
1920,not forcing anyone 
1921,"terrorism news
israel gaza
"
1922,producer turns singer for biopic 
1923,they offer tickets one who threatened chop modi frauds lies deceit
1924,"see this kinda twitts people sharing
jst want ask thm whr saboot that modi gives letter paks puppet "
1925,modi haters means economy 100 times neeche giri saal mein
1926,said modi 
1927,modi will tamil will not support rowdy stalin
1928,life wake criticize modi sleep repeat
1929,jds mla asks people slap those seeking votes for narendra modi 
1930,beef biryani and sleep asaduddin owaisi slams narendra modi over pulwama attack india today 
1931,"someone tell this man indias servent not modis are all bjp workers modi should become governor kalyan singh download the toi app now
"
1932,air india boarding pass features images modi vijay rupani sparks row over violation poll norms financialxpress
1933,modi has family tree freedom fighters and hence has rights say whatever feels like when comes citizens the country
1934,aimim chief criticises modi for launching merchandise ‘after all the jobless youth victims demo gst modi’ ilaaj buy tshirts from him’ 
1935,akbaruddin owaisi slams modi over “chowkidar” campaign promises provide him cap and whistle 
1936,according modi global warming fluke 
1937,mam any cost you are going lose election you are flop actressflop ministerby the grace modi you got ministry without any qualification
1938,supreme court hauls cbi over inaction mulayam and akhilesh disappropriate assets case thank modi for truly ushering environment zero tolerance issues corruption
1939,nirav modi will handed india phases during election dates  
1940,all the people india except modi bakthas are voting against modi and bjp get out dubakoor modi and bjp
1941,that means modi terrorist like taliban
1942,why not blame abhisek like dida blame modi for all ills 
1943,wonder remembers how modi treated farmers from his state
1944,are all bjp workers modi should become governor kalyan singh times india ► 
1945,"akbar lone screams pro pak slogans
mamtas nephews wife caught with gold
kartik fight elections etc modi required for two more terms decimate these corrupt leaders along with their supporters dont miss"
1946,"looking into says air india modi picture airline boarding pass
"
1947,quite big list this operation cobrapost nothing coming for modi rescue though this time
1948,dont know about kumar but modis bubble development definately burst
1949,bjp
1950,"vote save democracy vote against the dictatorship modishah vote save constitution vote save institutions vote for peace 
jay hind"
1951,even governor’ are campaigning for chor modi shah bjp rss  save india from chor modi and his goons 
1952,just the sight modimake puke 
1953,that company has taken prior permission from bjp use word modi sarkar presstitutes ीं ुेंे।
1954,you are bang pazhoor azim prem has pledged 60if his wealth for charity though have ambani’ adanis who are blossoming modi ‘ rule but not doing enough charity work yes they have bailed out their brother paying 550cr that different story
1955,this things they will unblock 1hate narendra modi praise rahul gadhu know its toughbut thats the only way
1956,this government startups would supported any cost because startups arewill the backbone this country dont want any political interference startups 
1957,only for modi 2019 
1958,youngistan always with modi 
1959,you are big fools narender modi doing this work using increase tax decrease sell
1960,jari what your logic voted modi will vote him again you want logic for why vote says because jari don’ like him 
1961,modi fooled gave 6000year 17day with which you cannot buy bundle bidi says this elderly comes again our country will gulam says this agitated 
1962,apply your logic extremist leader modi
1963,saare moork taraf against modi put india retrograde mode
1964,source 
1965,what mulayam singh did the same thing oppenly supported modi though his son his fighting opposition
1966,murder conspired nehru rajeevmafia family they can conspired for modi with the help china pakistan therefore indian agencies must carefull about security india congress have all his dna
1967,"bjp just like big jumla party
modi chor hai
chowkidar chor hai"
1968,"icing the cake
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too"
1969,"ramdev baba says both nehru and modi became because they did yoga and thats why will never hope become 
"
1970,you are not listening your dad you are akhilesh your dad searching for you you are nikhil you are still listening your mom you are rahul but you are not listening anybody you arenarendra modi
1971,she got shot accidentally she was that classroom she didnt get shot any activist pseudo she has done nothing except quit pak for 
1972,shameful return gaali politics now andhra pradesh chandrababu naidu calls narendra modi demon republic world 
1973,narendra modi selling tshirts when will you start selling yours what prevents you from selling your merch 
1974,after railway tickets now boarding pass air india have modi pics airline says looking into times india 
1975,media likes him likes media one the guys whom lutenys will support for their modi hatred
1976,side kheencho and reuse modi jacket bhai
1977,air india boarding pass with modis photo kicks row airline withdraws 
1978,modi want meet urgently
1979,mai bhi chowkidar only bjp jai hind jai modi vande matram 
1980,enable sez status for the adani project the centre had amend 2016 guidelines that prohibited the establishment standalone power project inside sez via 
1981,snubbing modi eyeing the post with shiv sena help
1982,never photo photographers play tricks
1983,brother modi jee the watchman nation that india and that post prime minister please note
1984,after railway tickets now air india boarding passes carry narendra modis image airline says these are thirdparty advertisements firstpost 
1985,pre election bloodshed just like his brother indian modi both thrive blood muslims
1986,yes sir always want narender modi our prime minister india 
1987,dont think modi charge just the chief model the brand ambassador the head marketing the corporate logo human form for project total control the hindutva forces the rss
1988,modi jaitley not know economics subramanian swamy 
1989,now modi selling ’shirts
1990,please help for meet modi want meet urgently
1991,even narendra modi and amit shah was accused with bigger blames let’ not forget that
1992,hello kabir sir modi tagged you create awareness vote never mentioned vote for him
1993,air india rolls back boarding passes that had modi’ image 
1994,chief criticises modi for launching merchandise ‘after all the jobless youth victims demo gst modi’ ilaaj buy tshirts from him’ 
1995,respected narendra modi
1996,fifth column justice yet for the indian express via 
1997,nopenot fan modi 
1998,cant chowkidar brahmin subramanian swamy via 
1999,answer will you vote for modi for 2019 elections 
2000,what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax
2001,asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars
2002,answer who among these the most powerful world leader today trump putin modi may 
2003,with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho 
2004,gandhi was gay does modi  
2005,things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2
2006,hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi 
2007,calm waters wheres the modi wave 
2008,"dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any
"
2009,was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him
2010,"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india"
2011,the three codes modi cracked give india huge foreign policy jumpstart via 
2012,being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive
2013,check out latest article premier archery league via 
2014,india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year 
2015,impressive godrej tata complimenting our hoping gets second term 
2016,yes good job highly insensitivearrogant incompetent ploar needs defeated any costnobody knows why made such arrogant person minister gave tickethe out touch with grounddespite 3months upsc protests nvr met 
2017,before 2014 hindustan has seen the worst for hindus own maj hindu rashtra who thrashed the rascal faces these anti indian politiciansantinationals urban naxals wait watch after modis win pakistan mein bhi hindu hona garv baat hogi✌
2018,higher voting turnout directly proportional bjp victory wonder modi has launched campaigns like dont sit home ensure everyone your friends family relatives votes its now never for 
2019,"modi govt has done remarkable job making corruption free india ultimate success shall achieved when corrupt are jailed modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app"
2020,with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well
2021,"overpromise and underdelivery – that pithy summary the economic outcome the last five years under approach the general election ौीाोै
"
2022,think you forgot dollar india handled exceptionally well and one the diplomatic shrewdness and achievement why you always undermine modi government you are always prone criticise even without considering other aspects
2023,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them
via namo app"
2024,100 sure sir will inform all family and friends give record numbers vote modi sir and bjp thanks
2025,you will loose your existance election rafel corruption free and scam free all nation know the nature except narendra modi and bjp all party scammer aap nautanki baj
2026,‘concierge’ for super rich makes unusual sight nirav modis hearing via 
2027,for new india can vote for shri narendra modi 
2028,not modi then who from opposition opposition leaders intent clear but dont understand why they are failing their attempt why not vote for modi they are not telling people what they will when come into power
2029,can pit more pictures and videos hindu extremist crime just years but use coz ppl are taken over storm modi and rss terror
2030,modi mother elected more khans would killed 
2031,kitna jalte tum modi your tweet shows your jealousy towards our great prime minister modi 
2032,where ever rgis going through out the length breadth the country such the reception for him masses india just love him modi all other leaders bjp are just match
2033,thanks modi porn sites are banned
2034,this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank
2035,sharam karodesh ghotale bech khaega tumhara just because modi youth have taken interest political issues youth are better judge the right and wrong 
2036,thought petta was the most antibjp movie recent times  
2037,"election live blog met sapna choudhary yesterday want her campaigning for manoj tiwari
"
2038,superbly summarizedjai hind vande mataramagain modi sarkar 
2039,modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest
2040,why limited here are other prefixes for twitter that perhaps more accurately capture the state the citizens 
2041,modi left his year old wife and returned her rss walay sab gay hain 
2042,modi came power because five yrs ago the youth india were takenin his promise create jobsyr fast forward five yrs the present modi has his name lost jobs 45yrhigh unemployment 
2043,whoa has any other actor made such strong supportive statement for modi 
2044,"brahminnon brahmin may baad karna chahiyeour focuss should getting modi elected again
other wise antihindu guys will keep persecuting hindus even india
anyway even know the caste varda bhai but now donnot focus caste"
2045,agree with you was unrequired was kinda uncomfortable for her too she must thinking this was unexpected idk what say has shown enough solidarity now they should get back their normal lives  wish someone makes such offer narendra modi lol
2046,"funny after dowing two planes endian air chief was replaced and after detection every endian sub near pakistani waters admiral replaced 
modi should look mirror and look for replacement becoming our agent like adnan sami destroying endia from within "
2047,the first term prime minister won promise but the second term will have won performance not even narendra modi exception this
2048,used bjp money visit japan singapore usa for yrs and left bjp when modi asked how tdp spend bjp moneyexp details yrs political experience use increased pension dwacra yuvanestam schemes just before elections win votes
2049,hurrah welcome for chinook multi role helicopter really proud modi for right steps make strong nation urge people walk matching disciplined steps like fauji with modi for development and flying indian tiranga all our planets
2050,kunal kamra pretentious chutiya modi did more work the last five years than the braincells you have lost since your birth while smoking weed
2051,proud our priminister modi
2052,will see more such attacks hindus modi supporters 
2053,this the only chance history independent india propel into economy due mainly reforms time the dynasty ruled were just now yrs lets reach for the stars 
2054,rahul wise enough deny the absolute majority modi nda make aap cong deal and that’ the best for both the country kejriwal allow modi swee delhi with then finished for next delhi assembly too
2055,thats modi magic ghochu
2056,weak state capacity exacerbated excessive accountability because the nation always election mode fair modi did champion simultaneous elections but couldn’ get the opposition’ support comments needed what gurcharan das says here
2057,obc pass general log pass rrb rpf constable cut off 2019 anusaryr modi hatao
2058,sapna chaudhary dancer but sonia gandhi was not bar dancer she was working bar maid per research done her which means she was waitress she was more like modi modi chaiwala she was daruwali
2059,your called comparison modi with imran clearly displays the quality raajdarbaree ness you
2060,even after having share seats delhi assembly fears and look for option tie modi fear clearly seen 
2061,wah super but simple convey general public about achievements thanks modi saab
2062,"documents reveal modi and javadekars war indias environment
controversial amendments environmental laws and procedures were sought "
2063,everyone known even you not known how speak politicals line innocents life hunting objections the world topmost popular may known you modi like kids help fillful normals heart 
2064,tshirt problem the writing modi there thing called election campaign which every party does their own way 
2065,bjp receipt for disaster there one combined opposition candidate against the chowkidaar tadipar party they will back their task selling tea gali good throw bjp out noway they can win opposition parties aap congress maya akhilesh mamta bjd combine out modi
2066,why are you hell bent manoj tiwari just her photos came with priyanka dont you have enough candidates celebrities for campaigning reel life celebrity mentality strange modi jis developmental work his team efforts are more than enough bjp might not need sapna
2067,are baap baap every one tell gandhi family rich modi family rich
2068,like your way thinking but really just simple that women have rights because there are female deities
2069,with modi all his drawbacks atleast know what are for but with rahul mahaghatbandhan are surely for maha mess
2070,analysis indian air chief accepted defeat still weak not capable responding defending modi jis corruption rafale makng strong case for purchasng rafale free tea for pilots india need have tea pakistan cost mig21
2071,have all these qualities modi and more strong leadership
2072,our narendra modi ordered indian air force take action within days pulbama attack after permission what were done indian air force see here 
2073,trying prove your loyalty modi seems indian muslims have been trying that well don’ seem make any difference though still getting beaten their own homes and asked pakistan keep trying though may get lucky 
2074,final days modi government adani project jharkhand becomes indias first power sector sez via 
2075,can promise what can delivered epf pension universal health care nationalisation primary education drinking water comprehensive panindia solid waste management policy please dont tell what modi didnt tell what you can 
2076,years ago our beloved took oath take all the corrupted ministers and make india great guess what just did now all the anti indians are jealous and scared because going reelected soon modi will always win the best
2077,"sir think more than name yogi seems reminded his utterences like doing boti boti modi
this type language definitely terrorist "
2078,sir wat did till now act strongly toi read just told the officials this thing should not happen agn this acting strong according warning action gvin our lessons modi ensures ryt action ryt time
2079,takes look whether the leaders bjp and congress will venture south how crony capitalism still thrives and meet candidate who promising households ten litres brandy every month via 
2080,"dear thanks for the appreciation
definitely win the 2019 election serve the nation congress free "
2081,sir you should also ask whether these were really made refer abp viral sach whether modi promise crore jobs per year 
2082,final days modi government adani project jharkhand becomes indias first power sector sez this will help adani save billion annually excellent story 
2083,has come new meanings nationalism hindu and supporter modi and antinational who doesnt praise the govt initiatives
2084,maybe could because hes educated and could more responsible for the people india and will understand the youngsters more which the modi doesnt seems
2085,east west modi best
2086,every thing looks good tweet for modi except the hashtag
2087,share the optimism ratan tata agree modi the leader need for taking india forward this critical juncture take pride being indian first resonates with most citizens jai hind
2088,let tell you north karnataka out constituencies will dominated bjpgulbarga central karnataka davangere shivamogga chitradurga and ballary will clean sweep for bjp considering modi wave and dominance lingayat community
2089,ghanta better bring some good leaders are fed with bjp but when see rahul gandhi then think modi much better choice
2090,demon calls narendra modi demon the definitely more than just human being demi god
2091,think hindus should back off and let them suffer for their own miseries they live dieget rapedshould not our problem unless someone asks for help when they are quite with such repressive actsy should hindus bother about them let them rot say
2092,why just ten there 100 reasons vote for modi and bjp party where every leader equally contributed and commited build new india better india and modi’ team invincbleit’ countrys fortune have leader like modiit’ country wil win modi wins
2093,narendra modi more brainy than all the drswamys the world put together modi also dharmic and has humane heart something one wishes swamy shall have someday the line that divides chanakya and shakuni dharma modi chanakya and chowkidar but drswamy
2094,yes nincompoop just nazi bjp politicising balakot raids test have stopped terror raids our citizens maam how educated person like nirmala live with gross brazen corruption lynchings your party cadre lies from modi shah every day 
2095,rozi roti sawaal hai modiji his blood his dna shud read modichalisa now  meanwhile rajdeep shud also take the cases strongly which bjp rss men killed and love jihad that happens down south  show some class journalism rajjo
2096,dear son manak much good role media making modi hero for his honesty honest person not chormahachor
2097,ofcourse mein bhi choukidaar apne desh have proud first choukidaar narendra modi
2098,"also tharoor can add additional challenge clause self satisfaction rat against lion
that modi must win more votes than tharoor the ward where tharoor residing 2014 was kejri with similar challenge and kejri lost varanasi modi for lakhs votes"
2099,after jordan india the worlds most intolerant country you ever feel any shame shushma and modi  
2100,still looking you produce some autocratic monger norm that really hampered india how turned kimjong hitler wake dear this india what most powerful politician nehru most daring indira and most seat winner rajiv dare not most hated modi will 
2101,seems have more confidence modi than usual bhakts 
2102,will good for nation modi becomes forever
2103,"there are two possibilities here
1as you said managing
2no substantial evidences against got bail
even the first case got bail when are togetherso can manage its very clear choice urs "
2104,"surgical strike credit goes modi
nirbhaya case handling credit goes delhi police and the blame for the rape goes sheila dixit upa gets credit either for faster police action nor does get any credit for having silently worked heal the wounds
"
2105,good read 
2106,friends dont waste time tts can convince more neutral voters vote for bjpmodi the same time instead
2107,"hating modi should declared kind disease disabilityif the way has contributed recently the nation and still doingdoes not incite even bit love respect your heart for himthere something terribly wrong with you biological level
"
2108,"news breaks
film maker modi biopic accused sexually exploited minority metabhi modiji life inspired hua hai jab 36gun milate hain
tabhi koi biopic likhane film banane sochta hai modiji did earlier his chelafilm maker now following same path"
2109,ratan tata lavishes praise modi says will deliver new india 
2110,wish modi too wins with land sliding victory india
2111,"very safe for choors called chowkidars promises chor chowkidar jaitely
now fears chori wherever you want including rafal alibaba modi with his choors are always guide protect you
inturn all deliver modi share chant modi chalisa"
2112,apke yar modi message our people celebrate pakistan day believe time begin comprehensive dialogue with india address resolve all issues esp the central issue kashmir forge new relationship based peace prosperity for all our people
2113,haha congress going gaga over this after looting from air land east west land currency they are accusing bjp looting template this the change modi brought 
2114,the insolvency and bankruptcy code the second most important economic reform the writes here’ why didn’ take the top spot 
2115,thats the truth but not the whole truth the whole truth even bjp has been working cong agenda via their mole the party and tons molebureaucrats that modi didnt fire day despite repeated warnings from swamy bjpaap are just shorter spellings congress
2116,bjp now furious bcs your design reap big electoral dividend out pulwama bursted off due failure modi smartness imran nvr exptd that will retaliate the day light abi captive that’ war expected happens don’ make war for elections
2117,congratulations madam hope win biggest margin and make next govt stronger
2118,modi for greater india our vote goes modi
2119,must little more vocal ram mandir art 370 etc voting bjp with heavy heart for want better alternative
2120,ratan tata lavishes praise narendra modi says will deliver new india 
2121,rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country 
2122,and kindly dont compare modi jee butcher gujrat and imran khan
2123,"icing the cake
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too much fun "
2124,are cleaning the defecation four generation from nehru rahul how can visible fast this senseless lady speaks our forefathers has led best their life and this generation suffering because modi
2125,this guy truely something else 
